User Link,Followers Count,Likes Count,Views Count for Last 5 Videos,Like Count for Last 5 Videos
https://www.tiktok.com/@esterebindre,9421,288.9K,"16.3K, 51.8K, 5486, 26.7K, 44.5K","1110, 1110, 3876, 3876, 413"
https://www.tiktok.com/@masaki_nakagawa_official,34.7K,403.5K,"309.6K, 407.7K, 425.8K, 14K, 11.5K","19.2K, 19.2K, 27.9K, 27.9K, 26.1K"
https://www.tiktok.com/@spirich.lv,56,1136,"1447, 1407, 1453, 357, 372","12, 12, 20, 20, 10"
https://www.tiktok.com/@bmwmeitene,5807,91.1K,"25.3K, 24.4K, 39K, 2095, 13.7K","897, 897, 1244, 1244, 1271"
https://www.tiktok.com/@bmwmeitene,5807,91.1K,"25.3K, 24.4K, 39K, 2098, 13.7K","897, 897, 1244, 1244, 1271"
https://www.tiktok.com/@martinmarkavic,1882,14.3K,"674, 18.7K, 589, 2274, 791","26, 26, 732, 732, 19"
https://www.tiktok.com/@ebaniys,3632,73.9K,"333.7K, 16.2K, 2259, 41.7K, 41K","12.5K, 12.5K, 457, 457, 116"
https://www.tiktok.com/@esterebindre,9421,288.9K,"16.3K, 51.8K, 5486, 26.7K, 44.5K","1110, 1110, 3876, 3876, 413"
https://www.tiktok.com/@latviesutiktoks,20,17,"94, 346, 1146","4, 4, 2, 2, 5"
https://www.tiktok.com/@miana_mel,33.3K,1.3M,"95.1K, 125.6K, 178.8K, 19.6K, 17.6K","7766, 7766, 9508, 9508, 11.8K"
https://www.tiktok.com/@martinmarkavic,1882,14.3K,"674, 18.7K, 589, 2275, 791","26, 26, 732, 732, 19"
https://www.tiktok.com/@fallang_official,5207,56.9K,"2458, 929, 2306, 1800, 19.6K","107, 107, 71, 71, 236"
https://www.tiktok.com/@viola__karp,155,5286,"59.9K, 5010, 1875, 1060, 453","4279, 4279, 326, 326, 106"
https://www.tiktok.com/@lumastripss,1512,19.8K,"2885, 125.1K, 1113, 586, 2512","167, 167, 7905, 7905, 105"
https://www.tiktok.com/@user435633282959,147,22.9K,"1308, 322, 1176, 312.2K, 28.7K","26, 26, 5, 5, 12"
https://www.tiktok.com/@gvkruz,43.7K,1.7M,"1.6M, 225.2K, 20.3K, 35.5K, 33.8K","44.4K, 44.4K, 7987, 7987, 389"
https://www.tiktok.com/@pionosoulzz,61.8K,1.7M,"96.3K, 1450, 5537, 12.3K, 11.6K","4324, 4324, 136, 136, 358"
https://www.tiktok.com/@joaodasraparigas,100K,846.4K,"51.4K, 102.5K, 72K, 291.7K, 125.3K","5232, 5232, 6751, 6751, 4994"
https://www.tiktok.com/@viola__karp,155,5286,"59.9K, 5010, 1875, 1060, 453","4279, 4279, 326, 326, 106"
https://www.tiktok.com/@sofijaninness,2376,214.9K,"115.7K, 929.2K, 459, 689, 4143","11.3K, 11.3K, 106.1K, 106.1K, 56"
https://www.tiktok.com/@abbieadventures,1259,94.9K,"151K, 197K, 69.2K, 313, 458","27.7K, 27.7K, 15.7K, 15.7K, 2794"
https://www.tiktok.com/@maria_christinx,339,3840,"1030, 848, 361, 46.3K, 688","27, 27, 51, 51, 23"
https://www.tiktok.com/@christmaschannel18,93.7K,3.6M,"203.3K, 27.6M, 385.5K, 2705, 2362","13K, 13K, 3.4M, 3.4M, 28.7K"
https://www.tiktok.com/@bog_juice,3709,387K,"5281, 395.2K, 2918, 421, 1687","897, 897, 81.8K, 81.8K, 234"
https://www.tiktok.com/@atis_tv,8261,90.7K,"13, 268, 244, 416, 473","0, 0, 14, 14, 5"
